word,word_type
Abitur,noun
Ahorn,noun
Alltag,noun
Appetit,noun
Ausdauer,noun
Bedingung,noun
Beispiel,noun
Beratung,noun
Bereich,noun
Betrieb,noun
Boot,noun
Bus,noun
Büro,noun
Chor,noun
Dokument,noun
Drama,noun
Elch,noun
Erfahrung,noun
Erholung,noun
Fernsehen,noun
Filmstar,noun
Flug,noun
Formel,noun
Frisur,noun
Geburt,noun
Gefühl,noun
Gegensatz,noun
Generation,noun
Gerechtigkeit,noun
Gesundheit,noun
Glastür,noun
Grenze,noun
Hamburger,noun
Held,noun
Hering,noun
Kapitän,noun
Knochen,noun
Komma,noun
Kontrolle,noun
Krawatte,noun
Krise,noun
Kummer,noun
Kunde,noun
Landschaft,noun
Lerche,noun
Lilie,noun
Lineal,noun
Magnet,noun
Markt,noun
Mathematiker,noun
Million,noun
Mitglied,noun
Motorrad,noun
Nahrung,noun
Nelke,noun
Niete,noun
Ozean,noun
Palme,noun
Panik,noun
Paris,noun
Pause,noun
Pfanne,noun
Portion,noun
Programm,noun
Prozent,noun
Python,noun
Regel,noun
Ruine,noun
Sache,noun
Schuld,noun
Spende,noun
System,noun
Tafel,noun
Telefon,noun
Temperatur,noun
Tennis,noun
Tiger,noun
Tänzer,noun
Tätigkeit,noun
Unsicherheit,noun
Versager,noun
Vitamin,noun
Vollmond,noun
Vorwand,noun
Wert,noun
Wespe,noun
Wirkung,noun
Woche,noun
Zebra,noun
akzeptieren,verb
alphabetisch,adjective
anbieten,verb
anerkennen,verb
auspressen,verb
barfuß,adjective
bedauern,verb
begründen,verb
bequem,adjective
besorgt,adjective
bestellen,verb
betonen,verb
beweisen,verb
braten,verb
einsam,adjective
einstellen,verb
eitel,adjective
entlassen,verb
feige,adjective
feilen,verb
fit,adjective
fließen,verb
flüssig,adjective
fremd,adjective
geheim,adjective
geheimnisvoll,adjective
gelingen,verb
herstellen,verb
herzlich,adjective
humorlos,adjective
ignorieren,verb
mager,adjective
melden,verb
melken,verb
mieten,verb
minimal,adjective
mutlos,adjective
müssen,verb
nachweisen,verb
neblig,adjective
neidisch,adjective
nutzen,verb
passiv,adjective
peinlich,adjective
pflegen,verb
positiv,adjective
reif,adjective
reizen,verb
reservieren,verb
reserviert,adjective
rosten,verb
rudern,verb
schleppen,verb
schneiden,verb
schweigen,verb
sechzig,adjective
speziell,adjective
spontan,adjective
sprachlos,adjective
spurlos,adjective
stehlen,verb
still,adjective
streng,adjective
stricken,verb
studieren,verb
stürzen,verb
testen,verb
tippen,verb
umrühren,verb
unfair,adjective
verbessern,verb
vergessen,verb
verlegen,adjective
vermuten,verb
versichern,verb
vertraut,adjective
verwesen,verb
verzichten,verb
widmen,verb
wirken,verb
zahm,adjective
Restaurant,noun
ehrlich,adjective
ziellos,adjective
ausreden,verb
albern,adjective
